subnr,prevrewdiff,prevpoints,same,stake,stay
4,0.444444444444444,0.888888888888889,1,-1,0
4,0.555555555555556,0,-1,1,1
4,0.111111111111111,0.444444444444444,1,-1,0
4,0.111111111111111,0.666666666666667,1,1,1
4,0.222222222222222,0.444444444444444,-1,1,1
4,0.333333333333333,0.444444444444444,1,-1,0
4,0.555555555555556,1,1,1,1
4,0.555555555555556,0.888888888888889,-1,-1,0
4,0.888888888888889,0.111111111111111,1,1,0
4,0.444444444444444,0.888888888888889,1,1,1
4,0.444444444444444,0.666666666666667,-1,-1,1
4,0.555555555555556,0.555555555555556,1,1,1
4,0.444444444444444,0.666666666666667,1,1,0
4,0.666666666666667,0,-1,1,0
4,0.222222222222222,0.333333333333333,1,1,0
4,0.555555555555556,0.111111111111111,-1,1,1
4,0.222222222222222,0.222222222222222,1,-1,0
4,0.111111111111111,0.444444444444444,1,1,1
4,0.777777777777778,0.222222222222222,-1,-1,0
4,0.777777777777778,1,-1,-1,1
4,0.555555555555556,0.888888888888889,1,1,1
4,0.666666666666667,0.666666666666667,1,-1,0
4,0.777777777777778,0,1,-1,0
4,0.666666666666667,0.888888888888889,1,1,1
4,0.666666666666667,0.777777777777778,1,1,1
4,0.666666666666667,0.777777777777778,-1,1,0
4,0.333333333333333,0.444444444444444,1,-1,1
4,0.555555555555556,0.333333333333333,-1,-1,1
4,0.666666666666667,0.222222222222222,1,-1,0
4,0.777777777777778,0.888888888888889,1,1,1
4,0.777777777777778,0.888888888888889,1,-1,0
4,0.333333333333333,0.777777777777778,1,1,1
4,0.333333333333333,1,-1,-1,1
4,0,0.888888888888889,1,1,0
4,0.111111111111111,0.888888888888889,-1,1,1
4,0.222222222222222,0.555555555555556,-1,1,1
4,0.222222222222222,0.333333333333333,-1,1,1
4,0.444444444444444,0.111111111111111,-1,1,1
4,0.666666666666667,0.222222222222222,1,1,0
4,0.444444444444444,0.666666666666667,1,-1,0
4,0.666666666666667,0.222222222222222,-1,1,0
4,0.555555555555556,0.555555555555556,-1,1,0
4,0.444444444444444,0.222222222222222,-1,-1,1
4,0.555555555555556,0.111111111111111,-1,1,0
4,0.222222222222222,0.666666666666667,1,-1,1
4,0.111111111111111,0.555555555555556,-1,-1,1
4,0.222222222222222,0.666666666666667,1,1,0
4,0.111111111111111,0.777777777777778,1,-1,1
4,0,0.777777777777778,1,-1,1
4,0,0.555555555555556,-1,-1,0
4,0,0.333333333333333,-1,-1,0
4,0.222222222222222,0,-1,1,0
4,0.222222222222222,0.555555555555556,-1,-1,0
4,0.111111111111111,0.333333333333333,-1,1,0
4,0.111111111111111,0.333333333333333,1,-1,0
4,0.555555555555556,0.777777777777778,-1,-1,1
4,0.444444444444444,0.666666666666667,-1,-1,1
4,0.888888888888889,1,1,-1,0
4,0.666666666666667,0.222222222222222,-1,1,0
4,0.666666666666667,0.888888888888889,1,-1,1
