"ID","Age_Frac","DG_UG_RT_Diff_log","Session","Online","UG_Offer_Accept","it_P6","lr_P6","eg_P6","w_P6","st_P6","repst_P6","w_lo","w_hi","w_diff","Perc_Delay","Corr_r_Exp_Delay","Corr_int_Exp_Delay","Corr_r_Exp_Reward","Corr_int_Exp_Reward","School","Gender","T_Vocab","T_Matrix","Age_Frac_Imp","Corsi_WM_Span","AXCPT_t","CogFlex_t","SSRT","FlankerSwitch_t","FlankerInhib_t","Stroop_t","OneBack_WM_t","TwoBack_WM_t","Flank_Cong_Cost_t","Flank_Incon_Cost_t","SES_inv_z","DG_UG_Diff_z","DG_Coins_Given_z","UG_Coins_Given_z","DG_RT_log","UG_RT_log","UG_Decision_RT_log","TD_AvgRT_log"
16,7.197222222,1.81239958852278,0,0,0,0.385800987,0.468626797,0.505633705,0.401140762,0.907178319,-0.672686147,0.495339024,0.409761628,-0.085577396,44.44444444,-1.93057142857143,7.79533333333333,1.2555,-4.285,"Trevor Roberts School","F",62,68,7.197222222,5,0.86375034,-0.33051187,0.89144379,0.7881071,0.77219027,-0.5241816,0.95833331,0.20238094,0.0273509650550008,-0.955549813015145,0.226732272210054,0.149310244316598,-0.0070589880824997,0.325562257348941,-1.31430593609984,-1.35723329202115,-2.04820883924874,-7.53330742027516
16,7.455555556,NA,1,0,1,0.450977686,0.784068072,0.495056512,0.299910153,0.108238311,-0.089680394,0.431138138,0.458367723,0.021273231,0,-1.26628571428571,5.02133333333333,-0.714,4.908854167,"Trevor Roberts School","F",79,75,7.455555556,5,-0.22939122,0.86804646,2.6103024,0.48488712,-0.10443524,-0.50354654,0.92261904,0.11904763,-0.00155718467900384,0.604492824247514,0.226732272210054,-0.667504621650672,0.804724641404971,0.325562257348941,-0.82789658111156,-1.29960760679826,-2.1797392629952,-7.21255471560658
19,6.769444444,NA,0,0,0,0.681490963,0.30508083,0.414454996,0.404917061,0.185663416,-1.209576967,0.370325967,0.542768722,0.172442755,33.33333333,-0.986571428571428,4.988,0.5065,0.895,"Trevor Roberts School","M",59,65,6.769444444,6,0.063949138,0.68033564,-0.21713099,0.04069123,0.0011588037,0.94613451,0.88690472,0.71428573,-1.04068777574484,-1.03486701182387,-1.40088153907025,0.149310244316598,-0.81884261756997,-1.69292373821449,-1.54592997110668,-1.16024480583831,-2.11432594353334,-7.36830257268893
19,6.997222222,-0.133885496797239,1,0,0,0.613016679,0.429002575,0.419465985,0.547193473,0.107625192,-1.145567207,0.557035417,0.49577441,-0.061261007,22.22222222,0.52,-0.793333333333333,-0.329,0.175,"Trevor Roberts School","M",55,65,6.997222222,5,0.73114818,1.0434459,0.02221881,0.066326126,0.52717686,0.80256301,0.85119045,0.6785714,-0.641356388217716,-0.974938013362034,-1.40088153907025,-0.667504621650672,0.804724641404971,0.325562257348941,-0.664318944894641,-1.12701462018973,-1.92103180493219,-7.29260187156782
21,9.669444444,0.569161200778954,0,0,0,1.639477776,0.946439273,0.671217959,0.939520573,0.184067594,0.05934138,0.913596248,0.842388086,-0.071208162,22.22222222,-1.07028571428571,1.816,0.974,-2.71,"Trevor Roberts School","F",51,42,9.669444444,5,-0.41041857,0.21627696,-0.67146492,0.82414269,-0.094139278,-0.515517,0.92261904,0.79761904,-1.27210517205658,-1.15902930145474,-0.587074633430099,-1.48431948761794,0.804724641404971,-1.69292373821449,-0.902597404742153,-1.10922246778013,-2.09777249836456,-7.29979736675816
21,9.866666667,NA,1,0,0,1.310256887,0.888539707,0.671671,0.733725927,-0.10549867,-0.219548817,0.62575346,0.68907852,0.06332506,27.77777778,0.795428571428572,-0.790666666666668,-0.3195,1.765,"Trevor Roberts School","F",68,42,9.866666667,6,-0.22011267,0.54819465,-0.84615135,0.34740952,1.0730526,-0.76999509,0.85119045,0.64285713,1.73035187340778,-0.320941088648212,-0.587074633430099,-0.667504621650672,-0.0070589880824997,-1.69292373821449,-0.973867576804048,-0.811564935184064,-1.71954713511413,-6.89936725647748
25,8.925,NA,0,0,1,0.560718245,0.617607072,0.546635324,0.607339843,0.491426947,-0.833143353,0.462387335,0.640794747,0.178407412,5.555555556,-1.012,4.96420521233333,0.60665653225,-4.285,"Trevor Roberts School","F",26,48,8.925,5,-0.70894569,-0.66918653,-0.32617113,0.35349846,-1.2685349,0.34110549,0.88690472,0.64285713,-0.641356388217716,3.10994380414293,-2.62159189753048,1.78293997625114,-1.63062624705744,0.325562257348941,-1.29823698262501,-1.12701462018973,-1.30806251285032,-7.46492362981379
25,9.130555556,0.670035375812548,1,0,1,0.450977686,0.642357387,0.588116208,0.56966724,0.655732924,-0.875763653,0.315285724,0.732999099,0.417713375,0,-2.25571428571429,9.62,0,-5,"Trevor Roberts School","F",50,53,9.130555556,4,0.089094207,0.49552763,0.13092875,-0.41292435,-0.89313412,-0.69498974,0.67261899,-0.023809522,-0.899701690625592,2.43195296132381,-2.62159189753048,0.966125110283867,-0.81884261756997,0.325562257348941,-0.602219052377733,-0.849234758958937,-1.92439462702076,-7.03683232145259
27,12.61388889,-0.959003509129592,0,0,0,1.043468504,0.818511191,0.621045497,0.699234095,0.661159401,-0.254667111,0.479586915,0.758033479,0.278446564,77.77777778,-0.347714285714286,5.52533333333333,1.0055,-3.55,"Trevor Roberts School","M",60,66,12.61388889,6,0.39558858,0.19219062,0.63561893,0.05015881,0.27950862,-0.35935909,0.95833331,0.54761904,-1.66946577450406,-1.82023488116902,0.226732272210054,-0.667504621650672,0.804724641404971,0.325562257348941,-0.881837303666769,-1.61431173026492,-3.22878655097672,-7.47336984507299
27,12.775,-0.825375641299749,1,0,1,0.538600839,0.736490418,0.481136371,0.355015241,0.156605694,-0.870120626,0.433629978,0.428605227,-0.005024751,94.44444444,0.283142857142857,2.344,-0.714,5.565,"Trevor Roberts School","M",50,58,12.775,7,0.420977,1.0315214,-0.67850208,-0.85713786,-0.24810737,0.45264131,0.95833331,0.95833331,-0.327865331072289,0.604492824247514,0.226732272210054,-0.667504621650672,0.804724641404971,0.325562257348941,-0.351947118464064,-1.30956757837312,-2.82991378885905,-6.90651922127747
